PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
232871500,20154524,0,2020-08-20T16:00:00,"1900 Block Pauline Ave Pittsburgh, PA 15216",N,Beechview,6,99,9999 9999 - (Misc. Incident): ,1920,,,0,0
232874372,20154545,11,2020-08-20T00:01:00,"1200 Block Hillsboro St Pittsburgh, PA 15204",N,Sheraden,6,IDENTITY THEFT,4120 Identity Theft,2022,2,5,-80.0605408030587,40.4510697684251
232874895,20154559,27,2020-08-20T14:40:00,"Bigelow Blvd & 6th Ave Pittsburgh, PA 15219",N,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,201,6,6,-79.994832117606,40.440417019361
233207350,20158687,4,2020-08-26T15:09:00,"W North Ave & Fulton St Pittsburgh, PA 15233",Y,Manchester,1,AGG-ASSAULT,2702 Aggravated Assault. / 2706 Terroristic Threats. / 2705 Recklessly Endangering Another Person. / 6106 Firearms not to be Carried without a License. / 13(a)(31) Marijuana: Possession Small Amount / 3743 Accidents Involving Damage to Attended Veh. or Property / 1543 Driving While Operating Privilege is Suspended or Revoked. / 903 Criminal Conspiracy. / 1301 Registration and Certificate of Title Required. / 3323 Stop Signs and Yield Signs. / 3304(a)(2) CRIMINAL MISCHIEF- Tamper With Property (So As To Endanger Person or Property),2107,6,1,-80.0241553550148,40.4525043129168
233210753,20159006,1,2020-08-27T02:30:00,"7400 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood North,5,CRIMINAL HOMICIDE,2501 Criminal Homicide. / 2702 Aggravated Assault.,1302,9,2,-79.8918740327584,40.4563851569135
233215437,20159117,26,2020-08-27T03:00:00,"2300 Block Webster Ave Pittsburgh, PA 15219",Y,Middle Hill,2,LOITERING PROWLING AT NIGHT,5506 Loitering and Prowling at Night / 2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner / 2709.2 Stalking Conduct or Repeatedly Communicates,501,6,3,-79.9756504427023,40.4480732179235
233231931,20159222,0,2020-08-27T10:10:00,"Commonwealth Rd & Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9998 Overdose Other,201,6,6,-80.0068051594899,40.4410782570101
233240929,20159193,0,2020-08-24T04:14:00,"600 Block N Beatty St Pittsburgh, PA 15206",N,East Liberty,5,99,9093 Indirect Criminal Contempt,1113,9,2,-79.9236118556059,40.4674273699342
233151326,20158454,27,2020-08-26T07:58:00,"Saw Mill Run Blvd & Warrington Ave Pittsburgh, PA 15226",N,Mount Washington,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1915,4,5,-80.0113595839747,40.4150818826327
233177703,20158557,3,2020-08-26T11:14:00,"3700 Block 5th Ave Pittsburgh, PA 15213",Y,Central Oakland,4,ROBBERY,3701 Robbery. / 3921 Theft by Unlawful Taking or Disposition.,405,3,3,-79.9581445128134,40.441710290394
233182450,20158662,10,2020-08-26T14:00:00,"2700 Block Centre Ave Pittsburgh, PA 15219",N,Terrace Village,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,510,6,3,-79.9670278555567,40.4471425289927
233188000,20158075,27,2020-08-25T17:32:00,"500 Block N Euclid Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1113,9,2,-79.9252877999661,40.4667464624736
233188639,20158735,99,2020-08-26T15:01:00,"800 Block E Warrington Ave Pittsburgh, PA 15210",Y,Allentown,3,FOUND PROPERTY,9489 Found Property,1803,3,5,-79.9937050598573,40.4218022561637
232876678,20154577,27,2020-08-20T17:15:00,"2800 Block Fitzhugh Way Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1919,4,5,-80.0266677381106,40.396513723123
232877426,20154579,6,2020-08-20T00:01:00,"500 Block Delmont Ave Pittsburgh, PA 15210",N,Beltzhoover,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1809,3,5,-80.0040065497912,40.4182816716106
232877801,20154563,10,2020-08-20T07:10:00,"1500 Block Rutherford Ave Pittsburgh, PA 15216",N,Beechview,6,TERRORISTIC THREATS,2706 Terroristic Threats.,1916,4,5,-80.0268759839835,40.4128758299262
232878335,20154583,14,2020-08-20T01:30:00,"100 Block Virginia Ave Pittsburgh, PA 15211",N,Mount Washington,3,CRIM MISCHIEF,3304 Criminal Mischief.,1914,2,5,-80.0073760146438,40.4294831107355
232878564,20154617,6,2020-08-20T16:30:00,"6400 Block Penn Ave Pittsburgh, PA 15206",N,Larimer,5,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,1208,9,2,-79.917435063919,40.4575134909614
232879586,20154649,6,2020-08-20T13:50:00,"Frick Park Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT FROM AUTO,3934 Theft from Vehicle / 4106 Access Device Fraud,1414,5,3,-79.9076264560499,40.4365076843964
232882033,20154534,99,2020-08-20T17:50:00,"600 Block Elm Spring Ct Pittsburgh, PA 15216",Y,Banksville,6,AIDED CASE,9497 Aided Case,2023,2,5,-80.038354484954,40.4168931154768
232884048,20154723,6,2020-08-20T16:28:00,"5900 Block Centre Ave Pittsburgh, PA ",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115,,,0,0
232902318,20154767,10,2020-08-20T23:29:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,East Hills,2,SIMPLE ASSAULT,2701 Simple Assault.,103,6,6,-79.9931846836602,40.4350718181921
232913021,20155027,99,2020-08-21T10:30:00,"600 Block Kirkpatrick St Pittsburgh, PA 15219",N,Middle Hill,2,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),501,,,0,0
233252521,20159303,0,2020-08-27T12:00:00,"7000 Block Lake Dr Pittsburgh, PA 15206",N,Highland Park,5,99,9999 9999 - (Misc. Incident): ,1106,7,2,-79.9110217731525,40.4799014426796
233258228,20159359,27,2020-08-27T10:41:00,"300 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,201,6,6,-79.9979301341696,40.4378124774382
233258991,20159370,6,2020-08-23T10:30:00,"100 Block Hyman Pl Pittsburgh, PA 15213",N,Terrace Village,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,510,6,3,-79.9706240840632,40.4410691051351
233259824,20159259,6,2020-08-26T20:00:00,"2700 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1414,5,3,-79.9242403009749,40.4289929900804
233260256,20159340,10,2020-08-27T12:28:00,"700 Block Melbourne St Pittsburgh, PA 15217",N,Greenfield,4,HARRASSMENT,2709(a) Harassment.,1517,5,3,-79.9337641378384,40.4218034190833
233260273,20158966,6,2020-08-26T21:00:00,"100 Block Rhine Pl Pittsburgh, PA 15212",N,Spring Hill-City View,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2620,1,1,-79.992041845149,40.4653596489546
233260342,20159266,27,2020-08-26T18:00:00,"2600 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1609,3,3,-79.9682421893291,40.4272789740558
233262693,20159402,27,2020-08-26T21:30:00,"800 Block Ridge Ave Pittsburgh, PA 15212",N,Allegheny West,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2201,1,1,-80.0134560724771,40.4506042105838
-3351011801,20159353,0,2020-08-27T13:52:00,"1700 Block Brighton Rd Pittsburgh, PA 15212",N,California-Kirkbride,1,99,9999 9999 - (Misc. Incident): Possible Abandoned Juvenile. Mother Located,2507,6,1,-80.0158935817082,40.458529066572
233263107,20159397,27,2020-08-27T13:10:00,"800 Block Freeport Rd Pittsburgh, PA 15215",N,Lincoln-Lemington-Belmar,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1201,,,-79.8975765737857,40.4878700630933
232863162,20154258,27,2020-08-20T11:15:00,"500 Block Negley Run Blvd Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3744 Duty to Give Information and Render Aid,1115,9,2,-79.9277273373805,40.4678194981381
233193026,20158731,27,2020-08-26T02:40:00,"1500 Block Chelton Ave Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1918,4,5,-80.0116615529623,40.3874413821573
233193810,20158730,6,2020-08-26T00:01:00,"300 Block Lehigh Ave Pittsburgh, PA 15232",N,Shadyside,4,THEFT FROM AUTO,3934 Theft from Vehicle,705,8,2,-79.9263604158869,40.4571437452022
233194507,20158695,27,2020-08-26T15:20:00,"1600 Block Saw Mill Run Blvd Pittsburgh, PA 15210",N,Brookline,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,3206,4,5,-80.0006305335709,40.399967384426
233195558,20158748,10,2020-08-26T16:32:00,"3300 Block Forbes Ave Pittsburgh, PA 15213",Y,South Oakland,4,SIMPLE ASSAULT,2705 Recklessly Endangering Another Person. / 2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,409,3,3,-79.9630812696343,40.4371294554664
233195897,20158824,6,2020-08-26T16:30:00,"300 Block 5th Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,6,6,-80.0002903704474,40.4405261905044
233200685,20158911,0,2020-08-26T19:30:00,"8300 Block Bricelyn St Pittsburgh, PA 15221",N,East Hills,5,99,9999 9999 - (Misc. Incident): ,1306,9,2,-79.8789688621278,40.4546374148307
